framework,dataset,featurization,smoothing_factor,distance_threshold,coverage,kappa,kappa-lb,kappa-ub,accuracy,accuracy-lb,accuracy-ub,recall,recall-lb,recall-ub,specificity,specificity-lb,specificity-ub,kappa_val,train_time,pred_time,pred_time_normalized,pred_time_small_compounds_normalized,pred_time_large_compounds_normalized,pred_time_representative-2500_normalized,pred_time_representative-5000_normalized,pred_time_representative-10000_normalized,pred_time_representative-20000_normalized,details,pred_time_small_compounds,pred_time_large_compounds,pred_time_representative-2500,pred_time_representative-5000,pred_time_representative-10000,pred_time_representative-20000,train_time_normalized
bhsai_automl,pgp_inhibitors,ensemble,,,,0.7349716098480494,0.6669231805697958,0.7968368621502645,0.8735362997658079,0.8384074941451991,0.9016393442622952,0.9282868525896414,0.889763779527559,0.9554101551393986,0.7954545454545454,0.7321428571428571,0.8516483516483516,0.7513483167598666,6673.267207028926,110.8561707958579,0.2596163250488476,0.0217792156068142,1.024898290338181,0.2098043169783428,0.2037478857010137,0.1993316742008086,0.1971099821653566,"Ensemble: Mordred-XGBoost, Mordred-LightGBM, Mordred-RandomForest, Mordred-LogisticRegression, Morgan-LogisticRegression",108.89607803407124,5124.491451690905,524.5107924458571,1018.7394285050686,1993.3167420080863,3942.1996433071326,3.9047789391626253
bhsai_automl,hlm,morgan_fp,,,,0.3972350705847963,0.3205534104238715,0.4698961217044378,0.7219512195121951,0.6846902730917549,0.7577235772357723,0.5473251028806584,0.4834770606460359,0.6085919629214063,0.8360215053763441,0.7962466487935657,0.8709677419354839,0.539,8567.43611701706,0.0067529468797147,1.0980401430430451e-05,6.477167783305049e-06,6.529901176691055e-06,7.043318822979927e-06,6.590500008314848e-06,6.450707209296524e-06,6.087507400661707e-06,Morgan-XGBoost,0.0323858389165252,0.0326495058834552,0.0176082970574498,0.0329525000415742,0.0645070720929652,0.1217501480132341,3.4798684472043298
bhsai_automl,hlm,ensemble,,,,0.4748444661310841,0.4046203061055066,0.5425910638722363,0.7609756097560976,0.7252032520325203,0.7934959349593496,0.5596707818930041,0.4978723404255319,0.6230479530534428,0.8924731182795699,0.8579234972677595,0.921119592875318,0.5463901722538181,9629.791864595029,167.09903831989504,0.271705753365683,0.02371658764421,1.023963555283798,0.2116479117455892,0.204949551579589,0.2008727718929993,0.1995140304867061,"Ensemble: Morgan-XGBoost, Morgan-LightGBM, Morgan-RandomForest, Mordred-XGBoost, Mordred-LightGBM",118.58293822105044,5119.8177764189895,529.1197793639731,1024.7477578979451,2008.727718929993,3990.280609734124,3.9113695631986305
bhsai_automl,cytotox,morgan_fp,,,,0.4394498187730711,0.3847181219155974,0.4937651586149602,0.7578589634664401,0.7332200509770603,0.7816482582837723,0.5423728813559322,0.4950929348363212,0.5912240184757506,0.8743455497382199,0.8501971090670171,0.8966357512413647,0.584,12242.671937379986,0.0263218251056969,2.2363487770345723e-05,1.2594120809808372e-05,1.2497394578531384e-05,1.3370405603200195e-05,1.3107278384268284e-05,1.3224755902774631e-05,1.2951204099226743e-05,Morgan-LightGBM,0.0629706040490418,0.0624869728926569,0.0334260140080004,0.0655363919213414,0.1322475590277463,0.2590240819845348,2.601502749124519
bhsai_automl,cytotox,ensemble,,,,0.3958812705351624,0.341190792881088,0.4495058958824419,0.7502124044180118,0.7241152289369095,0.7748513169073916,0.4430992736077482,0.3943350437186523,0.4907576664281984,0.9162303664921466,0.8951466830846551,0.935064935064935,0.6103342404381119,14404.667710752925,6.749997316859663,0.0057349170066777,0.0058558331527747,1.026325232826406,0.2119830196115188,0.2046619708099868,0.1997883675888879,0.1983624398528481,"Ensemble: Morgan-LightGBM, Morgan-XGBoost, Mordred-LightGBM, Mordred-XGBoost, Morgan-KNN",29.279165763873607,5131.626164132031,529.9575490287971,1023.309854049934,1997.8836758888792,3967.248797056964,3.0609153656508554
bhsai_automl,mmp,mordred_desc,,,,0.5989215854987666,0.5403276563747914,0.6541333748747987,0.8729096989966555,0.8528428093645485,0.8913043478260869,0.5787545787545788,0.5204460966542751,0.6356735536642609,0.9599133261105092,0.9455508080359394,0.9711033637814016,0.631,10428.851337072903,0.0356859960593283,2.983778934726448e-05,2.6672365004196764e-05,2.5907417014241218e-05,2.7721996791660783e-05,2.752228020690381e-05,2.796278330497444e-05,2.7823561255354435e-05,Mordred-LightGBM,0.1333618250209838,0.1295370850712061,0.0693049919791519,0.137611401034519,0.2796278330497443,0.5564712251070887,2.1808555702787333
bhsai_automl,mmp,ensemble,,,,0.5868582686290416,0.5267230441208048,0.6432309108948866,0.8704013377926422,0.8503344481605352,0.8879598662207357,0.5604395604395604,0.5,0.6185540020555602,0.962080173347779,0.9477140754749988,0.9729854125155558,0.6321783495468281,11002.595000775764,169.9092366688419,0.1420645791545501,0.0220685095491819,1.023671763913799,0.2108309414603747,0.2031550611216109,0.1998452655936125,0.1975523492346518,"Ensemble: Mordred-LightGBM, Mordred-RandomForest, Mordred-XGBoost, Morgan-LightGBM, Morgan-XGBoost",110.34254774590954,5118.358819568995,527.0773536509369,1015.7753056080546,1998.4526559361257,3951.046984693036,2.3008354246707996
bhsai_automl,ames,mordred_desc,,,,0.5440376617972575,0.4970540065653681,0.5900421627867469,0.7791505791505792,0.7559845559845559,0.8007722007722008,0.7969151670951157,0.7679843472759763,0.8242110430827737,0.7524177949709865,0.7134461607416144,0.788551170742931,0.628,13010.654877060037,0.0062660691328346,4.838663423038358e-06,4.161359602585435e-06,5.427984800189733e-06,3.909328393638134e-06,3.7928598001599313e-06,3.6194863962009535e-06,4.763014800846577e-06,Mordred-LightGBM,0.0208067980129271,0.0271399240009486,0.0097733209840953,0.0189642990007996,0.0361948639620095,0.0952602960169315,2.5107400380277958
bhsai_automl,ames,ensemble,,,,0.5486763890184221,0.5018076757404015,0.5941589912535635,0.7806949806949807,0.7575289575289575,0.803088803088803,0.7917737789203085,0.762400792404026,0.8193353422560214,0.7640232108317214,0.7265469061876247,0.7996063245192977,0.6509909884913856,13096.60896996007,5.523136256029829,0.0042649700818763,0.0039155410725623,0.0042414559443946,0.0042592859383672,0.0041711190091911,0.0041165720697026,0.0040529510498046,"Ensemble: Mordred-LightGBM, Mordred-XGBoost, Mordred-RandomForest, Morgan-XGBoost, Morgan-LightGBM",19.577705362811685,21.207279721973464,10.64821484591812,20.85559504595585,41.1657206970267,81.05902099609375,2.527327087989207
bhsai_automl,cyp1a2,mordred_desc,,,,0.5971506469846894,0.5411682142913491,0.6481347891621273,0.8773259820813232,0.8600964851826327,0.8938662991040661,0.6086956521739131,0.5531914893617021,0.6645321466618631,0.9470486111111112,0.9329414282455832,0.9588752273764732,0.647,11797.487284150033,0.0058600360061973,4.038618887799678e-06,3.017236804589629e-06,3.0642103869467973e-06,4.383896011859178e-06,3.1073473859578373e-06,2.5411145063117145e-06,1.66236509103328e-06,Mordred-LightGBM,0.0150861840229481,0.0153210519347339,0.0109597400296479,0.0155367369297891,0.0254111450631171,0.0332473018206656,2.032647705746043
bhsai_automl,cyp1a2,ensemble,,,,0.6082880814224098,0.5539410199396357,0.6589390522207346,0.8800827015851137,0.8628532046864231,0.895933838731909,0.6220735785953178,0.5655369966060209,0.6756642272466344,0.9470486111111112,0.9329268292682928,0.9587090775438408,0.6531086722165392,13049.99077894102,231.2272460788954,0.1593571647683634,0.0097102139308117,1.081852721534809,0.1942114233748056,0.1910687316308263,0.191627609730279,0.1595877007920993,"Ensemble: Mordred-LightGBM, Mordred-XGBoost, Morgan-XGBoost, Morgan-LightGBM, Mordred-RandomForest",48.551069654058665,5409.2636076740455,485.528558437014,955.3436581541318,1916.2760973027907,3191.754015841987,2.248447756537047
bhsai_automl,cyp2d6,mordred_desc,,,,0.5618280085094965,0.505030957198899,0.6164480226295681,0.8738983050847458,0.856271186440678,0.8901694915254237,0.623574144486692,0.5627376425855514,0.6821164309302093,0.9282178217821784,0.9123700409421366,0.9417152373022482,0.53,13425.616155008029,0.2255932269617915,0.000152944560652,4.779866621829569e-05,4.728384558111429e-05,9.356384566053749e-05,4.931343980133534e-05,2.7156973094679416e-05,1.6665087197907268e-05,Mordred-RandomForest,0.2389933310914784,0.2364192279055714,0.2339096141513437,0.2465671990066766,0.2715697309467941,0.3333017439581454,2.2755281618657675
bhsai_automl,cyp2d6,ensemble,,,,0.5953835510323089,0.5370196125285355,0.6504687201199162,0.8922033898305085,0.8759322033898305,0.9071186440677966,0.5817490494296578,0.5221295447294321,0.6398467432950191,0.9595709570957096,0.9472361809045228,0.9694971145919208,0.5611170276833692,14807.984592249091,253.4638404939324,0.1718398918602931,0.0096107867076061,1.055467280624388,0.1929261266504414,0.1912083034798037,0.1883468316879822,0.1605470287223579,"Ensemble: Mordred-RandomForest, Mordred-LightGBM, Morgan-RandomForest, Mordred-XGBoost, Morgan-LightGBM",48.05393353803083,5277.336403121939,482.3153166261036,956.0415173990186,1883.468316879822,3210.9405744471587,2.5098278969913714
bhsai_automl,cyp2c9,morgan_fp,,,,0.449806127323352,0.3794021397742067,0.5187288370070753,0.8896189224704336,0.8725361366622865,0.90473061760841,0.4756756756756757,0.4055555555555555,0.5485714285714286,0.9468960359012716,0.9333152398703788,0.9579263711495116,0.482,12657.91944869398,0.2357966750860214,0.0001549255421064,5.5925658205524085e-05,5.588511200621724e-05,9.861597642302512e-05,5.37440478336066e-05,4.010247490368784e-05,3.598989715101197e-05,Morgan-RandomForest,0.2796282910276204,0.2794255600310862,0.2465399410575628,0.268720239168033,0.4010247490368783,0.7197979430202395,2.078817449284608
bhsai_automl,cyp2c9,ensemble,,,,0.4439910883804212,0.3680733058737302,0.5174637715721566,0.9067017082785808,0.8909329829172142,0.9204993429697766,0.3675675675675676,0.3004728780195484,0.4406779661016949,0.981301421091997,0.9730941704035876,0.9874074074074074,0.4669725173648804,13998.416561615886,259.72213365510106,0.1706452914948101,0.0101117509860079,1.0638050469004083,0.1981256201167591,0.1899943126587663,0.1786411502195056,0.1607468631614465,"Ensemble: Morgan-RandomForest, Mordred-RandomForest, Morgan-XGBoost, Morgan-LightGBM, Mordred-XGBoost",50.55875493003987,5319.025234502042,495.3140502918977,949.9715632938314,1786.4115021950563,3214.9372632289305,2.2989680672714545
bhsai_automl,cyp2c19,mordred_desc,,,,0.5033146801837413,0.4476011341534392,0.5551814841957435,0.8374512353706112,0.8184586604002149,0.8550065019505851,0.6114649681528662,0.5559011916133855,0.6644951140065146,0.8954248366013072,0.8774425658913086,0.9113932928402116,0.53,15580.10123097198,0.1011576189193874,6.577218395278769e-05,2.0672817435115576e-05,2.084841998293996e-05,4.090262399986386e-05,2.078726240433753e-05,1.2034562416374684e-05,7.860230701044202e-06,Mordred-RandomForest,0.1033640871755778,0.1042420999146997,0.1022565599996596,0.1039363120216876,0.1203456241637468,0.157204614020884,2.5333497936539806
bhsai_automl,cyp2c19,ensemble,,,,0.5087517567394915,0.4537652713854124,0.5650356077916568,0.8602080624187256,0.842002600780234,0.8771131339401821,0.4904458598726114,0.4347826086956521,0.5466237942122186,0.9550653594771242,0.942377323456854,0.965742251223491,0.5308491900268313,16961.632263479987,255.88362206378952,0.1663742666214496,0.009506556328386,1.0619660989764146,0.1888276037340052,0.1896288892889861,0.1921750072841067,0.1602222663445049,"Ensemble: Mordred-RandomForest, Mordred-LightGBM, Mordred-XGBoost, Morgan-RandomForest, Morgan-XGBoost",47.53278164193034,5309.830494882073,472.0690093350131,948.1444464449304,1921.7500728410669,3204.445326890098,2.7579889859317053
bhsai_automl,cyp3a4,morgan_fp,,,,0.6234340271509282,0.5804187869371225,0.6628498142571114,0.8567639257294429,0.8403183023872679,0.8716180371352785,0.6527514231499051,0.6109034913342647,0.6915934360514744,0.9359351988217968,0.9217366413351687,0.9479564132625364,0.654,16352.477876140038,0.005788902984932,3.0710360662769574e-06,5.127475596964359e-06,2.105563413351774e-06,2.748934458941221e-06,1.945365220308304e-06,1.7729065846651792e-06,8.96253902465105e-07,Morgan-XGBoost,0.0256373779848217,0.0105278170667588,0.006872336147353,0.0097268261015415,0.0177290658466517,0.0179250780493021,2.16818852773005
bhsai_automl,cyp3a4,ensemble,,,,0.633778189589467,0.5934589980449017,0.6725907016955476,0.8620689655172413,0.8461538461538461,0.8769230769230769,0.6470588235294118,0.605640568114296,0.6872702097655184,0.9455081001472754,0.931868131868132,0.956616634507264,0.6729755331538743,17997.437447484117,339.4399713380262,0.180074255351738,0.0098446764260064,1.0796245840758083,0.2009449958180077,0.1953835213946178,0.1872761952270055,0.1612967837085598,"Ensemble: Morgan-XGBoost, Mordred-XGBoost, Mordred-LightGBM, Morgan-LightGBM, Morgan-RandomForest",49.223382130032405,5398.122920379043,502.36248954501934,976.9176069730892,1872.7619522700552,3225.9356741711963,2.386295073917279
