dataset,Descriptor,Model,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
cytotox,Morgan,Bayesian,0.787,0.667,0.745,0.679,0.776,0.725,0.587,0.629,0.439,0.436
cytotox,Morgan,KNN,0.864,0.741,0.82,0.648,0.901,0.764,0.755,0.697,0.574,0.571
cytotox,Morgan,LightGBM,0.872,0.793,0.823,0.679,0.891,0.778,0.746,0.711,0.586,0.584
cytotox,Morgan,LogisticRegression,0.854,0.753,0.794,0.744,0.817,0.779,0.656,0.697,0.544,0.542
cytotox,Morgan,RandomForest,0.861,0.77,0.808,0.641,0.887,0.754,0.727,0.681,0.548,0.545
cytotox,Morgan,XGBoost,0.873,0.789,0.823,0.684,0.888,0.779,0.742,0.711,0.585,0.584
cytotox,Morgan,vNN,0.7918216982782301,0.7937605289715438,0.8247336370261569,0.7007215946843854,0.8829218018720749,0.7863118079383353,0.7374287501528818,0.7182740210530342,0.5919219593467796,0.5912516373233614
mmp,Mordred,Bayesian,0.792,0.377,0.717,0.77,0.707,0.738,0.326,0.458,0.359,0.307
mmp,Mordred,KNN,0.752,0.418,0.878,0.571,0.934,0.73,0.615,0.591,0.521,0.52
mmp,Mordred,LightGBM,0.93,0.785,0.914,0.591,0.973,0.758,0.8,0.679,0.641,0.631
mmp,Mordred,LogisticRegression,0.893,0.607,0.842,0.798,0.85,0.823,0.494,0.61,0.541,0.517
mmp,Mordred,RandomForest,0.921,0.748,0.904,0.668,0.948,0.795,0.702,0.683,0.628,0.627
mmp,Mordred,XGBoost,0.925,0.761,0.911,0.594,0.969,0.758,0.78,0.673,0.631,0.623
mmp,Morgan,Bayesian,0.836,0.525,0.831,0.657,0.862,0.753,0.468,0.546,0.456,0.446
mmp,Morgan,KNN,0.687,0.327,0.856,0.441,0.932,0.64,0.544,0.486,0.407,0.403
mmp,Morgan,LightGBM,0.879,0.659,0.892,0.506,0.962,0.697,0.713,0.591,0.541,0.531
mmp,Morgan,LogisticRegression,0.858,0.587,0.855,0.668,0.889,0.77,0.526,0.588,0.507,0.501
mmp,Morgan,RandomForest,0.875,0.632,0.863,0.605,0.91,0.742,0.553,0.577,0.497,0.496
mmp,Morgan,XGBoost,0.878,0.66,0.892,0.499,0.964,0.693,0.721,0.589,0.542,0.529
mmp,Morgan,vNN,0.7023703505974072,0.5939624527784042,0.8775408682117671,0.4485416288771994,0.9561990723176148,0.65369796200395,0.6534014722584931,0.5303861817557335,0.4746002580771812,0.4630133334063127
ames,Mordred,Bayesian,0.708,0.74,0.658,0.661,0.655,0.658,0.677,0.669,0.315,0.315
ames,Mordred,KNN,0.842,0.82,0.77,0.8,0.738,0.768,0.77,0.785,0.54,0.539
ames,Mordred,LightGBM,0.891,0.898,0.815,0.821,0.808,0.814,0.824,0.822,0.628,0.628
ames,Mordred,LogisticRegression,0.851,0.848,0.782,0.788,0.775,0.781,0.793,0.791,0.563,0.563
ames,Mordred,RandomForest,0.884,0.888,0.809,0.8,0.819,0.809,0.83,0.814,0.619,0.618
ames,Mordred,XGBoost,0.89,0.898,0.815,0.822,0.806,0.814,0.823,0.823,0.628,0.628
ames,Morgan,Bayesian,0.804,0.82,0.733,0.68,0.792,0.734,0.782,0.727,0.474,0.469
ames,Morgan,KNN,0.843,0.837,0.772,0.728,0.82,0.772,0.816,0.769,0.549,0.545
ames,Morgan,LightGBM,0.873,0.882,0.8,0.798,0.803,0.8,0.816,0.807,0.6,0.6
ames,Morgan,LogisticRegression,0.86,0.869,0.786,0.779,0.793,0.786,0.805,0.792,0.571,0.571
ames,Morgan,RandomForest,0.866,0.877,0.784,0.734,0.84,0.785,0.834,0.781,0.575,0.571
ames,Morgan,XGBoost,0.881,0.891,0.805,0.795,0.816,0.805,0.826,0.81,0.61,0.609
ames,Morgan,vNN,0.7847709468408633,0.864127952396138,0.7865319845261987,0.8231734317343173,0.7463684619474092,0.7837672452209072,0.7807154491025473,0.8013189797242876,0.5720864888923157,0.5710349823044362
cyp1a2,Mordred,Bayesian,0.856,0.589,0.752,0.797,0.743,0.769,0.4,0.532,0.431,0.388
cyp1a2,Mordred,KNN,0.862,0.6,0.876,0.61,0.934,0.755,0.664,0.636,0.562,0.561
cyp1a2,Mordred,LightGBM,0.938,0.808,0.906,0.627,0.966,0.778,0.797,0.702,0.654,0.647
cyp1a2,Mordred,LogisticRegression,0.911,0.702,0.832,0.839,0.831,0.835,0.516,0.639,0.565,0.538
cyp1a2,Mordred,RandomForest,0.926,0.768,0.89,0.642,0.943,0.778,0.708,0.673,0.608,0.607
cyp1a2,Mordred,XGBoost,0.938,0.809,0.905,0.618,0.967,0.772,0.799,0.696,0.649,0.641
cyp1a2,Morgan,Bayesian,0.865,0.599,0.831,0.657,0.868,0.755,0.518,0.579,0.481,0.475
