dataset,Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
bbb,Morgan,Bayesian,1,3,0.9102384291725104,0.9471452719380602,0.8703703703703703,0.8387096774193549,0.9130434782608696,0.8750876533936585,0.9285714285714286,0.8813559322033898,0.7439681358426422,0.7393103448275862
bbb,Morgan,Bayesian,1,4,0.9403409090909092,0.9648190057507776,0.8888888888888888,0.90625,0.8636363636363636,0.8846866420069055,0.90625,0.90625,0.7698863636363636,0.7698863636363636
bbb,Morgan,Bayesian,1,5,0.9232954545454546,0.913953244292292,0.8703703703703703,0.9375,0.7727272727272727,0.8511356050488184,0.8571428571428571,0.8955223880597015,0.7307567777420846,0.725689404934688
bbb,Morgan,Bayesian,2,1,0.906030855539972,0.9338350343364754,0.8148148148148148,0.8064516129032258,0.8260869565217391,0.816210241595432,0.8620689655172413,0.8333333333333334,0.6272819250798988,0.6255201109570041
bbb,Morgan,Bayesian,2,2,0.8793828892005611,0.8508018079070521,0.8703703703703703,0.935483870967742,0.782608695652174,0.8556388327219091,0.8529411764705882,0.8923076923076924,0.7353104527514781,0.7303851640513552
bbb,Morgan,Bayesian,2,3,0.9495091164095372,0.9677219466930388,0.8888888888888888,0.8387096774193549,0.9565217391304348,0.8956807686171939,0.9629629629629628,0.896551724137931,0.7864561805867951,0.7777777777777778
bbb,Morgan,Bayesian,2,4,0.8991477272727273,0.9407038965116176,0.8518518518518519,0.84375,0.8636363636363636,0.8536352744692443,0.9,0.8709677419354839,0.6994823573056137,0.6974789915966386
bbb,Morgan,Bayesian,2,5,0.9176136363636364,0.9401068023131972,0.8148148148148148,0.8125,0.8181818181818182,0.8153359597569135,0.8666666666666667,0.8387096774193549,0.6236348727784989,0.6218487394957983
bbb,Morgan,Bayesian,3,1,0.9186535764375876,0.9464687494105692,0.8333333333333334,0.7741935483870968,0.9130434782608696,0.840757022133315,0.9230769230769232,0.8421052631578947,0.6801201241845051,0.6684856753069577
bbb,Morgan,Bayesian,3,2,0.8611500701262271,0.8552390526122936,0.8148148148148148,0.8064516129032258,0.8260869565217391,0.816210241595432,0.8620689655172413,0.8333333333333334,0.6272819250798988,0.6255201109570041
bbb,Morgan,Bayesian,3,3,0.9607293127629734,0.9743449727876868,0.9074074074074074,0.9032258064516128,0.9130434782608696,0.908121375135262,0.9333333333333332,0.918032786885246,0.8122916174682937,0.8117154811715481
bbb,Morgan,Bayesian,3,4,0.9730113636363636,0.9821948672723584,0.8888888888888888,0.84375,0.9545454545454546,0.8974395396196488,0.9642857142857144,0.9,0.7850264619451028,0.7762430939226519
bbb,Morgan,Bayesian,3,5,0.8842329545454545,0.9240815037147154,0.8333333333333334,0.90625,0.7272727272727273,0.8118441408859887,0.8285714285714286,0.8656716417910447,0.6518350457459395,0.6473149492017416
bbb,Morgan,Bayesian,4,1,0.903225806451613,0.9314141017803224,0.7962962962962963,0.7741935483870968,0.8260869565217391,0.7997194458970361,0.8571428571428571,0.8135593220338984,0.5940641084713636,0.5903448275862069
bbb,Morgan,Bayesian,4,2,0.9565217391304348,0.967669977172703,0.8888888888888888,0.935483870967742,0.8260869565217391,0.8790853336524943,0.8787878787878788,0.90625,0.772482140270707,0.7702127659574468
bbb,Morgan,Bayesian,4,3,0.9340813464235624,0.9543755663694932,0.8518518518518519,0.8709677419354839,0.8260869565217391,0.8482305648608138,0.8709677419354839,0.8709677419354839,0.697054698457223,0.697054698457223
bbb,Morgan,Bayesian,4,4,0.9289772727272728,0.9189495798739162,0.8518518518518519,0.90625,0.7727272727272727,0.8368297861029392,0.8529411764705882,0.8787878787878788,0.6908553270314275,0.6887608069164265
bbb,Morgan,Bayesian,4,5,0.8565340909090908,0.860355728521268,0.7962962962962963,0.75,0.8636363636363636,0.8048150549829897,0.8888888888888888,0.8135593220338984,0.6030226891555273,0.5925925925925926
bbb,Morgan,Bayesian,5,1,0.9186535764375876,0.9341261121526818,0.8333333333333334,0.8387096774193549,0.8260869565217391,0.8323743898178778,0.8666666666666667,0.8524590163934426,0.6615570905154144,0.6610878661087867
bbb,Morgan,Bayesian,5,2,0.9214586255259468,0.9054854204497664,0.8888888888888888,0.9032258064516128,0.8695652173913043,0.8862357162406246,0.9032258064516128,0.9032258064516128,0.7727910238429172,0.7727910238429172
bbb,Morgan,Bayesian,5,3,0.8920056100981767,0.9325297424916256,0.7962962962962963,0.7096774193548387,0.9130434782608696,0.8049635640269315,0.9166666666666666,0.8,0.6196863885840591,0.5991902834008097
bbb,Morgan,Bayesian,5,4,0.9403409090909092,0.9628686143833258,0.8518518518518519,0.875,0.8181818181818182,0.8461141122266493,0.875,0.875,0.6931818181818182,0.6931818181818181
bbb,Morgan,Bayesian,5,5,0.8693181818181818,0.9163172734121128,0.7592592592592593,0.8125,0.6818181818181818,0.7442964951733098,0.7878787878787878,0.8,0.4982258962394359,0.4978540772532188
bbb,Morgan,LogisticRegression,1,1,0.9537166900420756,0.9684736035408086,0.8333333333333334,0.8387096774193549,0.8260869565217391,0.8323743898178778,0.8666666666666667,0.8524590163934426,0.6615570905154144,0.6610878661087867
bbb,Morgan,LogisticRegression,1,2,0.9481065918653576,0.9582504268287636,0.8888888888888888,0.9032258064516128,0.8695652173913043,0.8862357162406246,0.9032258064516128,0.9032258064516128,0.7727910238429172,0.7727910238429172
bbb,Morgan,LogisticRegression,1,3,0.9551192145862551,0.9728126414176482,0.8888888888888888,0.8064516129032258,1.0,0.8980265101338745,1.0,0.8928571428571429,0.7997496827515339,0.7801899592944369
bbb,Morgan,LogisticRegression,1,4,0.9701704545454544,0.9827738189870544,0.925925925925926,0.90625,0.9545454545454546,0.9300843070291092,0.9666666666666668,0.935483870967742,0.8511773263598431,0.8487394957983193
